Designator,Mid X,Mid Y,Rotation,Layer
C1,157.67,-13.35,0.0,top
C11,209.8575,-22.5775,90.0,top
C12,212.07,-22.49,90.0,top
C2,157.67,-15.86,0.0,top
D1,34.1,-51.1,180.0,top
D10,243.65,-51.1,180.0,top
D11,262.7,-51.1,180.0,top
D12,281.75,-51.1,180.0,top
D13,300.8,-51.1,180.0,top
D14,324.6125,-51.1,180.0,top
D15,343.6625,-51.1,180.0,top
D16,362.7125,-51.1,180.0,top
D17,34.1,-79.675,180.0,top
D18,53.15,-79.675,180.0,top
D19,72.2,-79.675,180.0,top
D2,72.2,-51.1,180.0,top
D20,91.25,-79.675,180.0,top
D21,110.3,-79.675,180.0,top
D22,129.35,-79.675,180.0,top
D23,148.4,-79.675,180.0,top
D24,167.45,-79.675,180.0,top
D25,186.5,-79.675,180.0,top
D26,205.55,-79.675,180.0,top
D27,224.6,-79.675,180.0,top
D28,243.65,-79.675,180.0,top
D29,262.7,-79.675,180.0,top
D3,91.25,-51.1,180.0,top
D30,291.275,-79.675,180.0,top
D31,324.6125,-79.675,180.0,top
D32,343.6625,-79.675,180.0,top
D33,362.7125,-79.675,180.0,top
D34,38.8625,-98.725,180.0,top
D35,62.675,-98.725,180.0,top
D36,81.725,-98.725,180.0,top
D37,100.775,-98.725,180.0,top
D38,119.825,-98.725,180.0,top
D39,138.875,-98.725,180.0,top
D4,110.3,-51.1,180.0,top
D40,157.925,-98.725,180.0,top
D41,176.975,-98.725,180.0,top
D42,196.025,-98.725,180.0,top
D43,215.075,-98.725,180.0,top
D44,234.125,-98.725,180.0,top
D45,253.175,-98.725,180.0,top
D46,272.225,-98.725,180.0,top
D47,298.41875,-108.25,180.0,top
D48,324.6125,-98.725,180.0,top
D49,343.6625,-98.725,180.0,top
D5,129.35,-51.1,180.0,top
D50,362.7125,-98.725,180.0,top
D51,41.24375,-117.775,180.0,top
D52,67.4375,-117.775,180.0,top
D53,86.4875,-117.775,180.0,top
D54,105.5375,-117.775,180.0,top
D55,124.5875,-117.775,180.0,top
D56,143.6375,-117.775,180.0,top
D57,162.6875,-117.775,180.0,top
D58,181.7375,-117.775,180.0,top
D59,200.7875,-117.775,180.0,top
D6,157.925,-51.1,180.0,top
D60,219.8375,-117.775,180.0,top
D61,238.8875,-117.775,180.0,top
D62,257.9375,-117.775,180.0,top
D63,276.9875,-117.775,180.0,top
D64,36.48125,-136.825,180.0,top
D65,57.9125,-136.825,180.0,top
D66,76.9625,-136.825,180.0,top
